Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,PI_High,PI_Low,AtR_High,AtR_Low,Exam_Score
0,12,14,0,0,0,1,0,2
1,15,7,0,0,1,0,0,3
0,0,11,1,1,0,0,1,4
2,19,7,1,0,0,0,0,2
2,26,7,1,0,1,0,0,3
2,15,1,1,0,1,0,0,5
1,9,9,1,0,0,0,1,7
2,29,0,0,0,1,0,0,2
0,12,7,1,0,0,0,0,6
2,25,6,1,0,0,0,1,7
1,14,3,0,0,0,0,0,7
1,24,4,0,1,0,1,0,9
2,8,10,1,0,0,0,1,3
1,6,15,1,1,0,0,0,0
1,15,3,1,0,0,0,0,2
2,9,13,1,0,1,0,1,8
1,22,9,1,0,0,0,0,7
1,17,18,1,0,1,0,1,10
2,26,16,1,0,0,0,0,10
0,10,14,0,0,0,0,0,3
1,26,4,1,0,1,0,1,9
2,5,2,1,0,1,1,0,9
0,12,10,1,0,1,0,1,3
1,26,2,0,1,0,1,0,0
2,16,5,0,0,1,0,0,8
2,15,15,0,0,0,0,0,7
2,13,6,1,1,0,0,1,2
1,18,19,1,0,1,0,0,3
1,16,13,0,0,0,0,0,3
2,2,17,0,0,0,0,0,1
2,12,14,1,0,0,0,1,10
2,28,5,1,0,0,1,0,3
0,26,4,1,0,1,0,0,8
1,8,12,0,0,1,0,1,3
1,11,12,0,0,0,0,0,4
1,0,16,0,0,0,0,1,5
0,7,12,0,0,1,0,0,4
2,24,1,0,0,0,1,0,10
1,7,7,0,0,0,1,0,7
0,4,17,0,0,0,0,0,8
2,15,17,0,0,0,1,0,1
0,7,15,0,0,0,0,1,3
1,3,7,0,0,1,0,1,3
0,26,15,0,0,0,1,0,3
0,6,3,1,0,0,0,0,4
0,5,19,0,0,0,1,0,5
1,7,17,0,0,0,1,0,9
1,0,11,1,0,1,0,1,2
0,16,0,1,0,0,0,1,5
2,13,14,1,0,0,1,0,3
0,12,12,0,0,0,0,0,6
0,4,5,0,0,0,0,0,7
1,27,9,1,0,1,0,1,0
2,16,7,1,0,1,0,1,8
1,23,14,0,0,0,0,1,10
2,22,5,1,0,0,0,0,1
2,17,10,0,0,1,1,0,8
1,3,14,1,0,0,0,1,7
1,9,3,1,0,0,0,0,1
2,18,11,0,0,0,0,1,2
1,21,18,0,0,1,0,1,8
1,4,13,1,1,0,0,1,1
0,10,2,1,1,0,0,0,4
0,25,4,1,0,1,0,1,7
1,21,12,1,0,1,0,1,1
2,10,12,0,0,0,0,0,8
1,29,1,0,0,0,0,1,4
1,25,5,0,0,0,0,0,5
2,8,19,0,0,0,0,0,8
1,18,16,1,0,1,0,0,5
2,1,16,1,0,1,1,0,10
0,28,9,1,0,1,0,0,8
1,23,9,0,0,0,1,0,8
0,26,6,0,0,0,0,0,5
2,28,3,1,0,0,0,1,0
1,17,4,0,0,0,1,0,7
1,16,7,0,0,0,0,0,5
1,7,8,1,0,1,0,0,5
0,9,6,0,0,0,0,1,1
1,3,12,0,0,0,0,0,7
1,12,2,0,0,0,0,0,0
1,29,5,1,1,0,0,1,5
1,20,9,1,0,1,1,0,5
0,24,7,0,0,0,0,1,9
2,13,8,1,0,0,0,0,0
0,23,11,1,1,0,1,0,1
2,24,10,0,0,0,0,1,2
2,24,18,0,0,1,0,0,10
1,11,2,0,0,0,0,0,9
1,25,0,0,0,0,0,1,10
0,12,8,1,0,0,0,1,6
1,23,6,0,0,0,1,0,8
1,5,4,1,0,1,0,0,8
0,11,7,1,1,0,0,0,3
1,14,14,1,0,0,0,1,6
1,19,17,1,0,0,0,0,3
1,20,6,0,0,1,1,0,9
0,29,4,0,0,0,1,0,5
0,12,4,0,1,0,0,0,0
2,20,12,0,0,0,0,1,8
2,0,12,0,0,0,0,0,5
1,20,17,0,0,0,0,0,6
2,16,11,1,0,0,1,0,6
2,15,16,1,0,0,0,0,2
0,19,4,0,0,0,0,1,7
1,7,2,1,0,0,1,0,0
2,15,1,1,0,1,1,0,9
0,0,5,1,0,1,1,0,8
2,19,2,0,0,0,0,1,5
0,27,15,0,0,1,0,0,1
0,23,10,1,0,0,0,1,9
2,17,13,0,0,0,0,1,10
2,24,15,0,0,0,0,1,0
1,23,6,1,0,0,0,0,10
2,10,9,0,0,1,0,0,7
1,13,14,0,0,0,1,0,6
1,29,15,0,0,0,0,1,1
2,17,14,1,0,0,0,0,0
0,21,6,1,0,0,0,0,9
1,21,6,0,0,0,0,0,7
1,19,15,1,0,0,0,1,3
1,19,6,1,0,0,0,0,10
1,14,3,0,0,0,0,0,3
0,2,13,1,1,0,1,0,4
2,28,15,0,0,0,0,1,9
2,6,19,0,0,0,0,0,5
2,11,15,1,0,0,0,0,6
1,20,12,1,0,1,0,0,5
1,14,15,0,0,0,0,0,7
1,18,11,1,0,0,1,0,0
1,26,17,0,0,0,0,1,1
0,22,7,1,0,0,1,0,10
0,16,5,0,0,1,0,1,0
1,26,19,1,0,1,0,1,8
0,8,17,0,0,0,1,0,4
1,2,0,1,0,0,0,0,0
2,20,13,0,0,0,0,0,5
2,28,13,1,0,0,1,0,9
2,12,2,0,1,0,0,0,1
0,22,3,1,0,0,0,0,3
2,17,7,0,0,0,0,0,8
0,28,5,1,0,0,0,0,5
0,1,16,0,1,0,0,0,10
1,17,15,0,0,1,0,0,1
2,26,16,0,0,0,0,0,7
1,29,17,1,0,0,0,0,3
0,12,0,1,0,1,1,0,0
2,21,7,1,0,0,0,0,5
1,1,5,0,0,1,0,1,0
1,15,7,0,0,0,0,1,1
1,9,7,0,0,0,1,0,1
0,22,8,0,0,0,0,0,7
1,17,18,1,0,0,1,0,8
0,7,2,0,1,0,1,0,1
0,21,2,1,0,0,0,0,1
2,20,4,0,0,1,0,1,9
0,14,7,0,0,1,1,0,8
2,16,14,0,0,1,0,1,6
2,23,6,0,0,1,0,0,1
0,10,2,1,0,0,0,1,8
0,14,11,0,0,0,1,0,9
2,7,6,0,0,0,1,0,8
2,13,9,0,0,0,0,0,9
0,27,9,0,0,0,0,0,0
2,3,8,0,1,0,0,1,8
2,12,0,0,0,0,1,0,2
1,29,0,0,0,0,1,0,6
1,21,14,1,0,1,0,0,5
1,18,7,0,0,0,0,1,10
0,5,0,0,1,0,0,0,10
2,15,4,0,0,0,0,1,4
1,24,15,0,0,0,0,1,8
1,23,16,1,0,1,1,0,8
0,2,5,0,0,0,0,0,6
0,12,19,0,0,1,0,0,1
2,9,6,1,0,0,0,1,2
0,21,2,1,1,0,1,0,8
0,1,18,1,0,1,0,1,9
0,23,7,0,0,0,0,1,2
2,27,14,0,0,0,0,0,4
0,2,7,1,0,0,0,0,3
2,9,1,0,0,1,0,0,8
0,14,11,0,0,0,0,0,9
2,0,16,1,0,0,0,0,8
1,0,0,0,0,1,1,0,5
2,18,14,1,0,0,0,0,4
2,14,11,1,0,0,0,1,6
0,13,6,0,0,1,0,0,1
0,6,4,1,0,1,0,0,7
0,27,17,1,1,0,1,0,4
1,5,13,0,0,0,0,0,7
0,29,18,1,0,1,0,0,10
2,10,18,1,0,0,0,1,6
1,19,3,1,1,0,1,0,1
0,14,13,0,0,1,0,1,3
1,11,14,0,0,0,1,0,6
0,12,1,0,0,1,0,1,9
1,14,18,1,0,0,0,0,6
2,18,18,1,0,0,0,0,7
2,10,10,0,0,1,0,1,3
1,3,9,1,0,0,0,0,6
0,17,15,1,0,0,0,1,1
2,0,6,0,0,0,0,0,0
2,9,3,1,1,0,1,0,8
1,10,14,1,0,0,0,1,7
2,10,18,1,0,0,0,0,7
0,11,6,1,0,1,0,0,4
0,5,7,1,0,0,0,0,0
1,29,11,0,0,0,0,1,2
2,11,11,1,0,1,0,1,1
2,0,8,1,0,1,0,1,0
1,27,15,1,0,0,0,0,1
0,20,17,1,0,0,0,1,1
2,14,4,0,0,1,0,0,6
2,25,17,0,1,0,1,0,1
1,6,8,1,0,1,0,0,8
2,8,1,1,0,0,0,1,3
1,1,15,1,0,1,0,0,0
0,12,5,0,0,0,0,0,7
0,1,3,0,0,0,0,0,8
2,3,14,1,0,0,0,0,10
1,10,10,0,0,1,0,1,8
1,7,19,1,0,1,0,0,4
0,9,3,1,0,0,1,0,4
0,5,6,1,0,0,1,0,4
1,8,1,1,0,0,0,0,3
0,19,2,1,0,1,0,0,5
0,11,19,0,0,1,0,1,4
2,27,11,1,0,0,0,1,6
0,8,6,1,0,0,0,0,9
2,2,3,1,0,0,0,0,1
1,0,8,1,0,0,0,1,9
0,16,8,1,0,0,0,0,4
0,9,1,0,0,0,0,0,0
0,5,19,1,0,0,1,0,4
2,6,19,1,1,0,0,1,1
1,25,10,1,0,0,0,0,9
1,27,6,1,0,0,0,0,8
0,15,0,0,0,0,0,0,0
1,4,11,1,0,0,1,0,6
2,29,3,0,0,0,1,0,0
2,13,7,0,0,0,1,0,1
0,21,16,1,0,0,0,0,8
2,7,17,0,0,0,0,1,10
2,25,6,1,0,0,0,1,0
2,13,7,1,0,0,1,0,3
2,9,6,0,0,0,0,0,9
0,24,4,0,0,0,0,1,9
2,16,2,1,0,0,0,1,9
2,28,3,0,0,0,1,0,4
1,12,9,0,0,0,0,0,2
0,28,13,1,0,1,1,0,10
2,7,1,0,0,1,0,0,0
2,9,4,0,0,0,0,0,4
0,27,14,1,0,0,0,0,10
1,21,6,0,0,0,0,0,5
0,17,6,1,0,1,1,0,9
1,0,8,0,0,0,1,0,0
2,6,16,0,0,0,0,0,10
2,7,17,0,0,0,0,1,9
1,10,18,0,0,0,0,1,4
0,21,10,0,0,1,0,0,10
0,19,19,1,0,1,0,1,10
2,27,7,0,0,1,1,0,3
1,17,17,0,0,1,0,1,2
2,27,16,0,0,0,0,1,1
1,5,9,1,0,0,1,0,8
2,25,17,1,0,0,0,0,8
1,10,16,1,0,1,0,0,5
0,5,4,1,0,0,0,1,7
2,21,17,0,1,0,0,0,3
0,8,5,1,1,0,0,0,2
0,3,10,0,0,0,0,1,5
0,7,18,1,1,0,1,0,1
1,16,10,1,0,0,0,0,10
1,13,16,0,0,0,0,0,8
2,1,1,0,0,0,1,0,6
1,8,6,0,0,0,0,1,2
0,25,5,1,0,0,0,0,6
1,29,18,0,0,0,0,0,2
0,0,8,1,0,0,0,1,0
0,24,12,1,1,0,0,0,1
0,20,5,0,0,0,1,0,2
1,27,19,0,1,0,0,1,10
1,2,1,0,0,1,0,1,4
1,23,14,1,1,0,1,0,10
0,4,11,0,0,0,0,0,1
0,9,4,1,0,1,0,1,9
2,14,16,0,0,0,0,0,10
2,12,0,1,0,0,0,0,3
2,12,14,0,0,0,0,1,0
0,21,0,1,0,0,0,0,4
2,24,0,0,0,1,0,0,5
2,9,14,0,0,0,0,1,0
2,17,6,0,0,0,0,0,7
0,16,7,0,0,1,0,0,9
0,25,15,0,1,0,0,1,5
2,5,5,1,0,1,0,0,0
0,16,0,0,1,0,0,1,3
2,14,14,0,0,0,0,0,9
2,21,3,1,0,0,0,1,4
0,13,8,0,0,0,0,1,10
2,21,0,1,0,0,0,0,8
0,25,3,1,1,0,0,0,4
1,21,1,1,0,0,0,1,1
1,29,13,0,0,0,1,0,9
1,0,0,1,0,1,0,1,6
0,13,17,1,0,0,0,0,1
2,24,3,1,0,1,0,1,8
1,28,14,1,1,0,1,0,5
2,15,5,0,0,0,0,1,9
1,28,16,1,0,1,0,0,7
2,5,14,0,0,1,1,0,5
0,0,3,0,0,0,0,1,7
2,17,6,0,0,0,0,1,6
2,3,19,0,0,1,0,0,4
2,29,1,0,0,1,1,0,1
0,20,12,1,0,1,0,1,2
1,5,8,0,0,0,0,0,9
1,27,16,1,0,0,0,0,2
1,25,18,1,0,0,0,0,2
0,14,3,1,0,0,0,0,1
0,7,9,0,0,0,0,0,7
2,5,7,1,0,0,0,1,3
0,15,4,0,0,1,0,0,3
1,29,18,0,0,1,0,0,0
0,14,18,0,0,0,0,0,9
1,4,4,0,0,0,0,1,9
2,3,3,1,0,1,0,1,6
2,23,13,1,0,1,1,0,6
2,18,10,0,0,0,0,0,4
1,6,15,1,0,1,0,0,3
1,16,1,0,0,1,0,0,0
1,18,12,0,0,0,0,0,10
1,17,16,0,0,0,1,0,1
0,3,1,0,0,0,0,1,3
1,24,0,1,0,0,0,1,3
2,4,9,0,0,1,0,0,4
1,16,18,1,1,0,0,0,9
1,8,9,0,0,1,0,0,3
1,6,3,1,0,1,1,0,9
0,15,4,1,0,0,0,0,2
1,8,3,1,0,1,0,1,9
1,20,11,0,0,1,0,1,3
1,9,12,1,0,0,0,1,7
1,17,14,0,0,0,0,0,10
2,7,6,1,0,1,1,0,8
1,20,3,1,0,0,0,0,5
0,27,11,1,0,0,0,0,1
0,6,16,1,0,0,0,1,3
2,18,14,0,0,1,0,0,7
1,1,2,1,0,0,1,0,2
0,6,1,0,0,1,1,0,7
0,20,12,1,0,0,0,0,3
1,8,18,0,0,0,0,1,9
2,14,12,1,0,1,0,0,8
1,11,10,1,0,0,0,1,10
2,19,5,1,0,0,0,1,10
0,11,18,1,0,0,1,0,6
0,14,7,1,0,0,0,1,9
2,26,18,1,0,0,1,0,3
2,24,19,1,0,0,0,0,7
1,19,12,0,0,1,0,1,6
2,3,7,0,0,0,1,0,7
0,18,9,1,0,1,0,0,8
2,0,12,0,0,0,0,1,3
0,1,16,1,1,0,1,0,7
0,8,4,0,0,1,0,1,2
1,20,8,0,0,0,0,0,3
1,22,3,1,0,1,0,0,8
0,7,3,1,0,1,0,0,1
2,13,19,0,0,0,0,0,9
2,10,16,1,0,1,0,0,4
0,28,4,0,0,0,0,1,0
0,24,3,1,0,0,0,0,10
1,24,18,0,0,0,0,0,0
0,29,19,0,0,1,0,0,1
2,1,4,1,0,0,0,0,2
0,4,17,1,0,0,0,0,4
2,9,19,0,0,0,0,1,9
1,14,15,1,0,0,1,0,7
0,6,3,1,0,0,1,0,7
1,9,9,1,0,0,0,0,3
2,23,6,1,0,1,1,0,8
1,12,7,0,0,0,0,1,10
1,24,3,0,0,0,0,0,8
2,18,1,1,0,1,0,0,3
2,20,1,1,0,0,1,0,9
1,3,3,0,0,0,1,0,5
0,13,17,0,0,0,0,1,9
0,5,1,1,0,1,0,1,5
1,23,9,1,0,1,0,1,10
2,1,12,0,1,0,0,0,6
0,5,16,0,0,0,0,0,2
0,23,5,1,0,0,0,0,1
2,17,8,1,0,1,0,0,4
2,23,7,1,1,0,0,0,2
1,13,9,1,0,1,0,0,3
1,1,19,0,0,1,0,1,6
0,27,18,0,0,0,0,1,8
0,18,18,0,0,0,0,0,1
0,16,19,0,0,0,0,0,6
1,20,9,0,0,0,0,1,9
1,20,17,1,0,0,1,0,9
0,22,9,1,0,1,0,1,4
0,27,12,1,0,0,0,1,7
1,19,3,1,0,0,0,1,1
1,29,3,0,0,1,0,0,8
1,3,1,1,0,0,0,1,5
2,26,5,1,0,1,1,0,3
2,9,11,1,0,0,0,1,7
2,29,16,1,0,0,0,1,1
1,13,11,1,0,0,0,1,8
0,9,13,0,0,1,0,1,6
1,19,7,1,0,0,1,0,2
2,27,3,1,0,0,1,0,3
2,2,16,0,0,0,1,0,3
2,26,14,1,0,0,1,0,2
1,7,19,0,0,0,0,1,9
2,6,9,0,0,0,1,0,5
2,16,9,0,0,0,0,1,7
1,16,16,0,0,0,0,0,1
0,14,7,0,0,1,0,0,1
2,12,8,0,0,0,0,1,9
2,9,13,0,0,1,0,0,1
1,18,16,0,0,0,1,0,10
1,23,17,0,0,0,0,0,1
2,8,18,1,0,0,0,1,10
1,19,2,0,1,0,1,0,2
2,16,10,1,0,1,0,0,7
0,0,9,1,1,0,0,0,8
2,25,11,1,0,0,0,1,5
0,1,0,1,1,0,0,1,0
0,2,18,1,0,0,0,0,5
0,11,15,1,0,0,0,1,10
0,28,11,1,0,1,0,0,0
1,24,0,0,0,0,0,0,5
1,24,10,1,0,0,0,1,7
1,13,19,0,0,1,0,1,3
0,11,12,1,0,0,0,0,7
0,8,5,0,0,0,0,0,7
0,9,0,1,0,0,0,1,4
2,13,18,1,0,0,0,1,9
0,10,15,1,0,0,0,1,1
2,2,6,1,1,0,0,1,8
2,9,5,0,0,0,0,0,1
1,12,7,1,0,0,0,1,8
2,21,7,1,0,0,1,0,9
1,22,15,0,0,1,0,1,6
2,1,7,1,0,1,0,1,9
0,3,15,0,0,0,0,0,2
0,21,14,1,0,1,1,0,4
1,13,7,0,0,0,1,0,3
2,20,16,0,0,1,0,1,9
2,11,13,1,0,1,0,0,0
2,0,10,1,0,1,0,1,9
1,18,9,0,0,0,0,0,7
0,8,19,1,0,1,0,0,6
0,29,10,0,0,0,0,0,10
0,0,8,1,0,1,0,0,3
1,14,17,0,1,0,0,1,8
0,18,13,0,0,0,1,0,4
1,4,0,0,0,0,0,1,7
2,13,8,0,0,0,0,1,6
0,5,16,1,0,0,0,0,3
0,3,11,0,0,0,0,1,6
1,13,12,0,0,1,0,1,10
0,23,12,1,0,1,1,0,1
2,24,8,0,0,0,0,0,10
0,14,16,0,0,0,0,0,5
0,5,8,0,0,0,0,0,5
0,27,5,0,0,0,0,0,0
2,19,15,1,0,1,0,1,10
1,28,16,1,0,0,0,0,9
2,1,16,1,0,0,0,1,5
0,3,7,1,0,0,1,0,2
0,15,1,1,0,1,0,0,9
1,6,13,1,0,0,0,0,3
2,25,13,1,0,1,1,0,1
0,20,5,1,1,0,0,0,8
0,29,2,1,0,1,0,0,1
2,9,15,1,0,1,1,0,5
2,29,10,1,0,0,1,0,2
0,20,1,1,1,0,1,0,2
2,13,12,0,0,0,0,0,2
2,16,10,1,0,0,0,0,10
0,2,14,0,0,1,1,0,7
1,29,8,1,0,0,0,0,5
1,24,15,0,0,0,0,0,6
0,25,9,1,0,0,0,0,2
1,28,6,1,0,0,0,0,6
2,27,16,0,0,0,0,1,10
0,16,4,1,0,0,0,0,8
1,2,0,1,0,0,0,0,7
0,17,13,1,0,0,0,1,4
1,11,11,1,0,0,1,0,2
2,14,12,1,1,0,0,1,10
2,12,11,0,0,0,1,0,4
1,5,7,1,0,1,0,0,0
2,9,5,1,1,0,0,0,10
1,29,16,1,1,0,0,1,0
2,2,5,1,0,0,1,0,0
2,12,6,0,1,0,0,0,8
2,2,1,0,0,0,0,0,8
1,14,14,1,0,0,0,1,0
1,18,0,0,0,0,0,0,5
1,22,18,0,0,1,1,0,1
0,25,1,0,0,0,0,0,2
1,12,15,1,0,0,0,0,9
1,10,7,1,0,0,0,0,9
1,0,18,1,0,0,0,0,1
1,25,18,1,0,0,0,0,3
0,18,19,1,0,0,0,0,8
0,23,8,1,1,0,0,1,7
1,25,14,0,0,0,0,1,9
1,21,0,0,0,1,1,0,9
1,1,2,0,0,0,0,0,10
2,3,8,0,0,1,0,1,6
2,23,16,0,0,0,1,0,1
0,1,15,0,0,1,0,1,8
1,0,12,1,0,0,0,0,2
0,22,11,0,0,0,0,0,6
0,19,18,0,1,0,0,0,2
2,19,7,1,0,1,0,1,1
1,22,18,1,0,1,0,0,0
1,20,13,0,0,1,0,0,8
0,22,19,0,0,0,0,1,0
0,5,17,0,0,0,0,1,8
2,17,5,0,0,0,0,1,4
0,2,13,1,0,0,0,0,1
2,6,15,1,0,0,0,0,8
2,4,5,0,0,0,0,1,9
2,22,7,0,0,0,0,1,4
1,26,9,0,0,0,0,0,9
1,9,6,0,0,1,0,0,8
1,4,18,0,0,0,0,0,1
1,7,17,0,0,0,0,1,10
2,4,2,1,0,0,0,1,6
2,21,12,0,0,0,0,0,9
2,9,9,0,0,0,0,1,6
2,29,8,0,0,0,0,1,0
1,23,16,0,1,0,0,1,1
2,12,7,0,0,0,0,1,8
0,11,16,1,0,0,1,0,9
2,15,8,0,0,0,1,0,2
2,16,11,1,0,1,0,0,1
1,10,11,1,0,0,0,0,0
0,14,9,1,0,0,0,0,3
2,27,14,1,0,0,0,0,2
0,25,8,0,0,0,0,1,3
0,24,18,1,0,1,0,0,8
1,21,8,0,0,0,0,1,7
0,2,5,1,0,1,1,0,9
0,17,0,1,0,0,1,0,8
1,25,10,1,0,0,0,0,10
2,11,4,1,0,1,0,0,3
2,18,19,1,0,0,0,0,4
0,1,5,1,0,0,0,0,10
2,26,19,1,0,0,0,1,8
0,24,0,1,0,1,0,1,2
2,23,15,0,0,1,1,0,9
1,14,3,0,0,0,0,1,10
2,5,14,1,0,0,0,1,7
0,0,16,0,0,0,0,1,0
1,6,14,1,0,0,0,0,2
1,22,11,0,0,1,0,0,9
1,17,6,0,0,0,0,1,4
1,10,3,1,1,0,0,0,5
1,18,15,1,1,0,1,0,3
0,15,19,1,0,0,0,1,6
0,7,1,1,0,1,1,0,10
2,22,18,0,0,1,0,1,0
2,25,11,0,0,0,1,0,0
1,2,8,1,0,0,0,0,3
1,8,1,1,0,1,0,1,0
1,25,5,0,0,0,0,0,10
0,1,11,1,0,0,0,0,10
2,17,18,0,0,1,0,1,7
0,26,19,0,0,0,0,1,4
2,18,1,1,0,0,0,1,8
0,12,1,0,0,0,0,1,1
0,9,19,1,0,0,0,1,9
2,11,6,0,0,0,1,0,5
1,6,2,0,0,1,0,1,9
1,20,13,1,0,1,0,0,1
2,1,10,0,0,0,1,0,9
1,15,7,0,0,1,0,0,5
2,28,12,1,0,0,0,0,0
2,29,12,1,0,0,0,1,7
0,25,9,1,0,1,0,1,8
2,24,10,1,0,1,0,1,9
0,3,13,0,0,0,0,0,2
0,19,19,0,0,0,0,1,0
0,28,16,0,0,1,0,0,8
0,19,7,1,0,1,0,0,6
0,18,5,1,0,1,1,0,4
0,2,10,0,1,0,1,0,4
1,20,0,0,0,0,0,0,6
2,29,19,0,0,1,0,1,1
0,1,12,0,1,0,0,0,9
2,22,2,0,0,0,1,0,8
0,26,12,0,0,1,1,0,7
1,3,4,0,0,0,0,1,7
0,24,11,1,0,0,0,0,6
0,0,4,0,0,0,1,0,2
0,5,10,0,0,0,0,0,1
2,4,18,1,0,1,0,0,0
0,6,19,0,0,1,0,0,5
1,28,9,1,0,0,0,1,0
1,7,15,0,0,0,0,0,4
2,26,10,0,0,0,1,0,3
2,17,10,1,0,0,0,0,8
0,0,2,0,0,1,0,0,1
1,25,16,0,0,0,1,0,6
0,5,18,1,0,0,0,0,7
0,26,16,0,0,0,0,1,4
2,1,8,1,0,0,0,0,4
1,1,11,1,0,0,0,0,0
2,20,0,1,0,0,0,1,8
1,14,12,1,0,1,0,1,9
0,8,16,1,0,1,0,1,4
2,2,15,0,0,0,0,0,10
2,8,1,1,0,0,0,0,10
2,24,13,1,0,1,0,1,7
2,7,0,0,0,1,1,0,5
1,27,16,0,0,0,0,0,3
1,9,12,0,0,1,0,0,10
2,26,7,0,0,0,0,0,7
0,13,14,1,0,0,0,1,10
1,22,18,1,0,0,0,0,4
2,4,14,1,0,0,0,0,3
0,17,15,0,0,1,0,1,4
