Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,Exam_Score,PI_High,PI_Low,AtR_High,AtR_Low
17,97,96,0,71,0,0,1,0
14,62,65,3,61,1,0,1,0
20,83,100,4,68,0,1,0,0
26,94,54,2,73,1,0,0,0
14,70,54,3,64,1,0,0,0
23,95,86,3,72,0,0,0,0
17,61,87,5,65,0,0,0,0
15,89,71,1,68,0,0,0,0
19,97,64,2,71,1,0,0,1
14,86,90,3,65,0,0,0,1
17,78,98,2,66,0,0,0,0
13,62,99,4,63,0,1,1,0
32,97,82,1,74,0,0,1,0
20,79,87,2,66,1,0,0,1
16,61,91,2,63,0,0,0,1
21,88,90,2,72,1,0,0,0
19,79,100,1,69,0,0,1,0
19,65,91,1,67,0,0,1,0
24,69,83,3,66,0,1,1,0
25,63,69,0,64,1,0,0,0
17,83,80,4,67,0,1,0,0
17,85,94,4,69,0,0,0,1
18,80,65,2,65,0,0,0,1
6,93,52,0,64,0,0,0,0
11,94,66,1,65,0,0,0,1
28,85,98,2,72,0,0,1,0
30,61,90,2,66,0,1,1,0
19,88,59,2,66,0,0,0,1
23,77,51,1,67,1,0,1,0
22,83,83,1,69,0,0,0,0
38,86,79,3,73,0,1,1,0
27,74,54,3,69,0,0,1,0
19,97,98,1,68,0,0,0,1
14,65,81,1,61,0,1,0,0
10,87,83,0,63,0,0,0,1
21,60,93,0,63,0,0,1,0
15,97,67,1,68,0,1,0,0
11,65,78,2,63,0,0,1,0
16,64,79,3,66,1,0,0,0
14,73,98,2,65,1,0,0,0
30,75,57,0,68,1,0,1,0
25,69,88,0,66,0,0,0,0
20,83,79,2,66,0,1,0,1
29,78,92,2,70,1,0,0,0
20,61,92,0,61,0,1,0,1
15,73,51,2,61,0,0,0,1
29,92,63,1,71,0,0,0,0
23,88,59,1,67,0,1,0,0
14,89,73,2,70,1,0,1,0
19,88,95,2,69,1,0,0,0
15,72,50,2,65,1,0,1,0
12,64,74,0,61,1,0,0,1
26,71,94,3,68,0,0,0,1
31,93,96,2,74,1,0,0,1
12,99,83,1,67,0,0,0,0
23,80,91,5,70,0,0,0,0
16,60,66,1,59,0,1,0,0
17,66,64,0,64,1,0,1,0
16,73,52,2,66,1,0,0,0
15,83,75,1,63,0,1,0,1
20,63,73,0,61,0,1,0,1
15,98,69,2,68,0,1,1,0
22,75,56,3,65,0,0,0,0
20,97,62,1,69,0,0,1,0
19,91,60,2,68,1,0,0,1
15,90,97,2,69,0,0,0,1
17,84,98,1,67,0,0,0,1
25,85,50,1,70,1,0,1,0
23,86,59,1,68,0,0,0,0
14,85,94,0,67,0,0,0,0
21,82,52,4,67,1,0,0,0
25,99,97,0,75,1,0,0,0
10,89,69,3,63,0,1,0,1
23,91,77,1,70,0,1,0,0
16,95,88,2,70,0,0,0,1
23,69,62,1,64,0,0,1,0
15,63,55,0,59,0,0,0,1
9,79,90,1,63,0,0,0,1
10,81,99,2,67,1,0,0,0
20,93,83,0,68,0,1,1,0
22,78,91,0,68,0,0,0,0
15,83,97,2,97,0,0,0,0
24,81,61,1,66,0,0,0,1
10,62,68,3,61,0,0,0,1
20,85,61,2,70,1,0,0,0
13,93,53,1,65,0,1,0,1
16,66,87,3,64,0,1,0,0
20,84,57,2,69,0,0,1,0
15,84,55,1,64,0,0,1,0
18,67,68,2,61,0,1,0,1
26,65,53,3,64,0,1,0,0
17,99,59,0,68,0,0,1,0
25,76,53,1,67,0,0,1,0
13,69,94,3,62,1,0,0,1
23,67,89,2,66,0,0,0,0
29,87,93,1,72,0,0,1,0
5,84,93,4,68,0,0,0,0
15,86,97,4,71,0,0,1,0
23,64,59,3,65,0,0,0,0
19,96,95,2,68,0,0,0,1
22,76,76,2,65,0,0,0,1
16,73,58,1,64,1,0,0,1
21,78,83,2,65,0,0,0,1
19,76,66,0,65,1,0,1,0
27,95,52,3,73,1,0,0,0
22,97,54,1,72,0,0,1,0
22,72,71,1,64,0,1,0,0
18,95,91,0,69,0,0,0,0
17,91,66,1,69,0,0,0,0
17,97,88,0,70,0,0,1,0
22,70,53,1,83,0,1,0,0
17,83,70,3,68,1,0,0,0
22,71,56,1,84,0,1,1,0
32,93,93,1,75,0,0,0,0
25,60,98,1,67,0,1,1,0
18,83,66,0,69,0,0,1,0
27,74,99,3,71,1,0,0,0
18,73,88,1,66,0,0,0,1
8,86,50,1,65,0,0,1,0
14,94,74,1,70,1,0,0,0
9,84,92,1,66,1,0,0,1
18,94,77,3,74,1,0,0,0
20,71,77,0,66,1,0,0,0
30,81,72,0,68,0,0,1,0
22,78,70,2,68,0,0,1,0
19,60,51,0,62,0,0,1,0
25,82,81,2,71,0,0,1,0
7,86,88,2,63,0,0,0,1
21,84,90,2,69,1,0,1,0
25,89,81,3,71,0,0,0,0
11,83,67,1,66,1,0,0,1
27,63,51,0,64,0,0,1,0
22,65,95,3,65,0,0,0,0
18,84,71,4,69,0,0,1,0
24,71,80,2,66,0,0,0,1
34,63,60,1,67,0,0,1,0
21,77,57,4,65,0,0,0,1
21,82,54,3,65,0,1,0,1
17,73,90,1,67,1,0,0,0
15,89,82,1,66,0,1,0,0
25,86,81,1,69,0,0,0,0
15,73,96,1,64,0,0,1,0
20,90,58,1,70,0,0,0,0
17,86,59,3,68,1,0,0,0
23,85,59,1,68,1,0,0,1
22,82,71,1,69,1,0,0,0
26,60,94,3,68,0,0,0,0
17,88,94,5,70,0,0,0,0
18,75,80,2,67,1,0,0,0
14,98,83,3,72,1,0,1,0
17,93,95,1,69,1,0,0,1
22,84,81,1,69,1,0,0,0
25,70,61,3,64,0,1,0,0
14,68,85,2,63,0,1,0,0
25,74,88,3,70,1,0,1,0
28,79,82,0,70,1,0,0,0
22,72,64,1,66,1,0,0,0
31,81,70,1,70,0,0,0,0
15,67,74,0,66,0,0,1,0
13,99,57,1,68,0,0,0,0
9,64,73,1,61,0,0,0,0
29,97,58,1,72,0,0,0,0
24,97,75,1,69,1,0,0,1
20,81,53,0,63,0,0,0,1
22,89,97,2,72,0,0,1,0
13,77,62,1,65,0,0,0,0
35,85,73,1,74,0,0,1,0
21,74,52,1,62,0,0,0,1
21,72,60,0,65,1,0,0,0
24,83,85,1,68,0,1,1,0
23,80,56,3,66,0,0,0,1
21,83,81,3,71,1,0,0,0
15,71,50,1,62,0,0,1,0
23,75,73,1,65,0,1,1,0
31,63,86,0,68,0,0,1,0
28,62,96,4,70,0,0,1,0
30,70,75,1,67,0,1,0,0
17,63,92,2,63,0,0,0,0
14,64,90,0,63,1,0,1,0
19,93,65,0,69,0,0,1,0
20,62,94,3,66,0,1,0,0
27,86,82,2,70,0,0,0,0
10,71,55,2,63,0,0,0,0
29,95,97,0,72,0,1,0,0
19,79,59,1,65,1,0,0,0
17,72,74,2,67,0,0,1,0
14,81,73,1,63,0,0,0,0
10,75,81,3,65,1,0,0,0
25,83,83,2,67,0,0,0,0
20,65,62,0,80,0,0,0,1
12,100,68,2,68,0,0,0,0
12,77,57,2,63,0,0,0,0
18,74,56,1,64,0,0,0,0
30,88,91,3,73,0,0,0,0
18,75,88,2,66,0,0,0,0
11,93,72,2,66,0,0,0,0
19,78,55,0,66,1,0,1,0
18,89,72,4,69,0,0,1,0
4,64,65,1,59,0,0,1,0
20,94,89,0,68,0,0,0,0
19,89,55,1,67,0,0,0,0
24,68,73,1,64,0,0,0,0
31,66,80,0,65,0,1,1,0
27,73,99,1,68,0,0,0,0
18,99,54,0,70,0,0,1,0
13,70,56,2,62,0,0,0,0
35,78,99,1,72,1,0,0,1
20,61,70,1,62,0,0,0,1
20,76,87,1,68,1,0,1,0
20,83,89,3,69,1,0,0,0
21,98,66,3,73,1,0,0,0
19,81,61,3,69,1,0,1,0
17,93,64,1,67,0,0,0,0
17,82,88,2,65,0,0,0,1
20,62,92,2,63,0,1,0,1
17,73,85,2,66,1,0,0,0
16,83,72,1,66,0,0,0,0
21,98,63,0,70,0,0,1,0
18,94,71,2,69,0,0,0,0
29,69,96,1,70,0,0,1,0
4,69,93,2,58,0,0,0,1
27,68,66,3,67,0,0,0,0
27,97,66,1,73,1,0,1,0
8,94,89,0,66,1,0,0,1
18,91,71,0,70,1,0,1,0
18,76,79,1,67,1,0,1,0
12,80,71,1,60,0,1,0,1
15,79,62,1,65,1,0,0,0
13,70,59,0,63,0,0,0,0
31,80,57,1,72,1,0,1,0
26,61,51,0,62,0,1,0,0
28,65,64,6,70,0,0,0,0
24,95,59,2,70,1,0,0,1
13,90,63,0,64,0,0,0,0
17,77,54,3,64,0,0,0,0
23,81,67,0,67,0,0,0,1
13,75,76,1,64,0,0,1,0
24,90,97,1,72,0,0,0,0
19,91,67,0,66,0,0,0,1
18,91,52,2,66,0,0,0,0
24,89,68,0,71,0,0,1,0
23,68,91,5,66,0,1,0,1
18,74,67,2,64,0,0,0,1
27,79,65,0,66,0,0,0,1
14,73,96,1,62,0,0,0,1
24,90,65,4,70,0,0,0,0
24,73,99,3,69,0,0,0,0
18,66,92,2,65,1,0,0,0
22,76,84,2,70,1,0,0,0
12,99,80,0,70,1,0,1,0
26,69,61,1,67,0,0,0,0
19,84,87,2,69,0,0,1,0
17,77,67,0,62,0,1,0,0
26,63,74,1,67,0,0,1,0
16,80,55,0,65,1,0,0,0
12,88,65,0,65,0,0,0,0
11,81,76,1,65,0,0,1,0
24,95,73,3,69,0,0,0,1
12,72,67,4,63,0,0,0,0
31,63,74,3,66,0,1,1,0
8,97,87,0,67,0,0,1,0
30,75,73,1,69,0,0,0,0
21,83,75,1,67,0,0,0,0
19,92,85,1,70,0,0,0,0
17,73,92,2,67,1,0,1,0
22,89,76,2,70,1,0,0,0
20,65,97,0,65,1,0,1,0
27,72,68,0,63,0,0,0,1
21,66,63,0,64,0,0,0,0
21,92,85,1,69,1,0,0,0
18,69,59,1,60,0,1,0,0
20,89,95,3,69,0,1,0,0
22,98,69,4,72,0,0,0,1
10,81,85,1,63,0,0,0,1
12,82,79,0,63,0,1,0,0
24,78,53,0,66,1,0,0,1
21,73,85,6,70,0,0,0,0
19,79,90,1,68,0,0,1,0
20,84,99,2,69,0,0,0,0
22,99,71,0,72,0,0,0,0
17,98,75,1,67,0,1,1,0
15,94,94,1,68,0,1,0,0
21,96,63,1,70,0,0,1,0
14,79,59,5,68,1,0,0,0
22,86,57,2,69,0,0,0,0
10,96,99,1,68,0,0,0,0
26,76,64,0,66,0,0,0,0
23,98,88,1,72,0,0,0,0
22,77,72,2,67,0,0,0,0
26,84,62,3,70,0,1,1,0
30,88,96,1,73,1,0,0,0
26,98,73,1,73,0,0,0,1
9,70,78,1,60,0,0,0,0
12,90,61,2,67,0,0,1,0
16,81,66,3,69,1,0,0,0
20,71,87,1,65,0,0,0,1
23,91,67,2,70,0,1,1,0
16,82,75,3,68,1,0,1,0
21,86,56,1,66,0,0,0,1
15,73,93,1,65,0,1,1,0
16,79,87,1,64,0,1,0,0
12,85,88,1,67,1,0,1,0
14,76,59,3,65,1,0,0,0
12,68,75,1,64,1,0,1,0
14,98,51,0,67,1,0,1,0
26,80,66,2,70,0,0,0,1
14,89,67,3,63,0,0,0,1
36,76,96,1,71,0,0,0,0
23,74,100,2,68,1,0,0,1
21,76,81,0,67,0,0,0,0
15,76,76,1,67,1,0,1,0
24,82,72,0,68,0,1,0,0
17,82,51,1,66,1,0,0,0
21,80,90,0,68,0,0,0,0
35,65,84,0,70,1,0,0,0
19,80,82,5,67,0,1,0,1
27,67,90,2,67,0,1,0,0
16,65,96,2,62,0,1,1,0
20,97,69,0,67,0,0,1,0
31,84,71,4,70,0,0,1,0
16,86,99,4,72,1,0,1,0
31,76,83,2,70,0,0,0,0
